edition_id,country_noc,result_id,athlete_id,medal
5,ANZ,56421,64719,Bronze
5,ANZ,21263,45153,Silver
5,ANZ,31505,11237,Gold
5,ANZ,31505,11239,Gold
5,ANZ,31505,11240,Gold
5,ANZ,31505,11241,Gold
5,ANZ,31505,11242,Gold
5,ANZ,31505,11243,Gold
5,ANZ,31505,11244,Gold
5,ANZ,31505,11245,Gold
5,ANZ,31505,11246,Gold
5,ANZ,31505,11247,Gold
5,ANZ,31505,11248,Gold
5,ANZ,31505,11249,Gold
5,ANZ,31505,11250,Gold
5,ANZ,31505,11251,Gold
5,ANZ,31505,11238,Gold
5,ANZ,31505,1202174,Gold
5,ANZ,31505,1202175,Gold
5,ANZ,31505,1202176,Gold
5,ANZ,31505,1202177,Gold
5,ANZ,31505,1202178,Gold
5,ANZ,31505,1202179,Gold
5,ANZ,31505,1202180,Gold
5,ANZ,31505,1202181,Gold
5,ANZ,31505,1202182,Gold
5,ANZ,31505,1202183,Gold
5,ANZ,31505,1202184,Gold
5,ANZ,31505,1202185,Gold
5,ANZ,31505,1202186,Gold
5,ANZ,31505,1202187,Gold
5,ANZ,31505,1202188,Gold
5,ANZ,31505,1202189,Gold
5,ANZ,4494,45155,Silver
5,ANZ,4509,45155,Bronze
6,ANZ,4554,45217,Silver
6,ANZ,4573,45212,Bronze
6,ANZ,4585,45212,Bronze
6,ANZ,4630,45217,Gold
6,ANZ,4630,45175,Gold
6,ANZ,4630,45158,Gold
6,ANZ,4630,45212,Gold
6,ANZ,4636,45034,Gold
6,ANZ,4636,45146,Silver
6,ANZ,44450,80451,Bronze
2,BOH,56105,76627,Silver
2,BOH,44057,694,Bronze
2,BOH,44067,694,Bronze
2,BOH,44067,119,Bronze
5,BOH,72859,21327,Bronze
5,BOH,73410,21327,Bronze
5,BOH,73410,118263,Bronze
5,BOH,73410,21330,Bronze
5,BOH,73410,21329,Bronze
5,BOH,73410,21333,Bronze
54,BRN,302391,115219,Gold
59,BRN,359066,129369,Silver
59,BRN,359093,129374,Gold
61,BRN,19000739,141289,Silver
25,BAR,65310,65090,Bronze
53,AFG,262097,117410,Bronze
54,AFG,325026,117410,Bronze
24,AZE,131962,57256,Silver
25,AZE,27265,90108,Bronze
25,AZE,51980,93007,Gold
25,AZE,132995,57256,Gold
26,AZE,27411,106167,Bronze
26,AZE,27447,90027,Bronze
26,AZE,52023,41255,Bronze
26,AZE,52043,93007,Bronze
26,AZE,134052,107586,Gold
53,AZE,258310,106225,Bronze
53,AZE,260306,112690,Gold
53,AZE,260480,106750,Bronze
53,AZE,263597,117135,Silver
53,AZE,263362,117109,Bronze
53,AZE,263453,116984,Bronze
54,AZE,305333,121605,Bronze
54,AZE,305353,121606,Bronze
54,AZE,332000,117135,Silver
54,AZE,332138,126970,Bronze
54,AZE,332368,121429,Gold
54,AZE,332506,121432,Gold
54,AZE,332552,117109,Bronze
54,AZE,332644,116984,Silver
54,AZE,332690,121420,Bronze
59,AZE,356448,132609,Silver
59,AZE,356522,132608,Bronze
59,AZE,353508,121978,Silver
59,AZE,353554,90273,Bronze
59,AZE,354580,126978,Silver
59,AZE,354805,121774,Silver
59,AZE,351352,132622,Bronze
59,AZE,351378,132623,Gold
59,AZE,351404,129113,Bronze
59,AZE,355542,132627,Bronze
59,AZE,355726,132628,Bronze
59,AZE,355220,132626,Bronze
59,AZE,355266,121429,Silver
59,AZE,355312,121430,Bronze
59,AZE,355358,121432,Bronze
59,AZE,355404,117109,Silver
59,AZE,355772,116984,Silver
59,AZE,355818,117004,Bronze
61,AZE,19005785,140915,Bronze
61,AZE,18001466,121656,Bronze
61,AZE,18000159,140924,Silver
61,AZE,18000275,140906,Silver
61,AZE,19009358,140928,Bronze
61,AZE,19009503,132626,Silver
61,AZE,19009648,116984,Bronze
24,ARM,132507,57138,Gold
24,ARM,131909,57137,Silver
25,ARM,30188,94905,Bronze
53,ARM,258347,112962,Bronze
53,ARM,263024,116354,Bronze
53,ARM,263033,104584,Silver
53,ARM,263597,117136,Bronze
53,ARM,263873,117213,Bronze
54,ARM,332138,117182,Silver
54,ARM,332230,120952,Bronze
59,ARM,354344,132441,Silver
59,ARM,354353,132439,Silver
59,ARM,355542,132445,Silver
59,ARM,355680,120952,Gold
61,ARM,19009133,120896,Bronze
61,ARM,19005674,132432,Bronze
61,ARM,19002065,132441,Silver
61,ARM,19009416,120952,Silver
24,BDI,64721,65098,Gold
59,BDI,359036,120158,Silver
54,BOT,302357,123538,Silver
61,BOT,19000475,120888,Bronze
61,BOT,19000475,132744,Bronze
61,BOT,19000475,141109,Bronze
61,BOT,19000475,141107,Bronze
61,BOT,19000475,141108,Bronze
