edition_id,country_noc,gold,silver,bronze
1,USA,11,7,2
1,GRE,10,18,19
1,GER,6,5,2
1,FRA,5,4,2
1,GBR,2,3,2
1,HUN,2,1,3
1,AUT,2,1,2
1,AUS,2,0,0
1,DEN,1,2,3
1,SUI,1,2,0
1,MIX,1,0,1
2,FRA,31,41,40
2,USA,20,13,15
2,GBR,20,8,9
2,BEL,6,6,6
2,SUI,6,3,1
2,GER,4,3,2
2,ITA,3,2,0
2,DEN,1,3,2
2,MIX,1,2,3
2,NED,1,2,3
2,HUN,1,2,2
2,CUB,1,1,0
2,ESP,1,0,0
2,AUT,0,3,3
2,NOR,0,2,3
2,IND,0,2,0
2,BOH,0,1,1
2,AUS,0,0,3
2,SWE,0,0,1
3,USA,80,85,83
3,GER,5,4,5
3,CAN,4,1,1
3,CUB,3,0,0
3,HUN,2,1,1
3,GBR,1,1,0
3,GRE,1,0,1
3,MIX,1,0,0
5,GBR,56,51,39
5,USA,23,12,12
5,SWE,8,6,11
5,FRA,5,5,9
5,GER,3,5,5
5,HUN,3,4,2
5,CAN,3,3,10
5,NOR,2,3,3
5,ITA,2,2,0
5,BEL,1,5,2
5,ANZ,1,2,2
5,RUS,1,2,0
5,FIN,1,1,3
5,RSA,1,1,0
5,GRE,0,3,1
5,DEN,0,2,3
5,BOH,0,0,2
5,NED,0,0,2
5,AUT,0,0,1
6,USA,26,19,19
6,SWE,23,25,17
6,GBR,10,15,16
6,FIN,9,8,9
6,FRA,7,5,3
6,GER,6,13,7
6,ITA,5,1,2
6,RSA,4,2,0
6,NOR,3,2,5
6,CAN,3,2,3
6,HUN,3,2,3
6,ANZ,2,2,3
6,BEL,2,1,3
6,DEN,1,6,5
6,GRE,1,0,1
6,SUI,1,0,0
6,RUS,0,2,3
6,AUT,0,2,2
6,NED,0,0,3
7,USA,41,27,27
7,SWE,19,20,25
7,BEL,16,12,14
7,FIN,15,10,9
7,GBR,14,16,13
7,ITA,14,6,5
7,NOR,13,10,9
7,FRA,9,20,13
7,NED,4,2,5
7,DEN,3,9,1
7,RSA,3,4,3
7,CAN,3,3,3
7,SUI,2,2,7
7,EST,1,2,0
7,BRA,1,1,1
7,AUS,0,2,1
7,JPN,0,2,0
7,ESP,0,2,0
7,GRE,0,1,0
7,LUX,0,1,0
7,TCH,0,0,2
7,NZL,0,0,1
8,USA,45,27,27
8,FRA,14,15,12
8,FIN,14,13,10
8,GBR,9,14,12
8,ITA,8,3,5
8,SUI,7,8,10
8,NOR,5,2,3
8,SWE,4,13,12
8,NED,4,1,6
8,BEL,3,7,3
8,AUS,3,1,2
8,DEN,2,6,3
8,HUN,2,4,4
8,YUG,2,0,0
8,TCH,1,4,5
8,ARG,1,3,2
8,EST,1,1,4
8,RSA,1,1,1
8,LUX,1,1,0
8,GRE,1,0,0
8,URU,1,0,0
8,AUT,0,3,1
8,CAN,0,3,1
8,IRL,0,1,1
8,POL,0,1,1
8,HAI,0,0,1
8,JPN,0,0,1
8,MON,0,0,1
8,NZL,0,0,1
8,POR,0,0,1
8,ROU,0,0,1
9,USA,22,18,16
9,GER,11,9,19
9,NED,8,10,5
9,FIN,8,8,9
9,FRA,7,12,6
9,SWE,7,6,12
9,ITA,7,6,7
9,SUI,7,6,4
9,HUN,5,5,0
9,GBR,4,11,7
9,CAN,4,4,7
9,ARG,3,3,1
9,DEN,3,2,4
9,AUT,3,0,1
9,TCH,2,5,2
9,JPN,2,2,1
9,POL,2,1,4
9,EST,2,1,2
9,EGY,2,1,1
9,AUS,1,2,1
9,NOR,1,2,1
9,YUG,1,1,3
9,RSA,1,0,2
9,IND,1,0,0
9,IRL,1,0,0
9,LUX,1,0,0
9,NZL,1,0,0
9,ESP,1,0,0
9,URU,1,0,0
9,BEL,0,1,2
9,CHI,0,1,0
9,HAI,0,1,0
9,PHI,0,0,1
9,POR,0,0,1
10,USA,44,36,30
10,ITA,12,12,12
10,FRA,11,5,4
10,SWE,10,5,9
10,JPN,7,7,4
10,HUN,6,5,5
10,GER,5,12,7
10,FIN,5,8,12
10,GBR,5,7,5
10,POL,3,2,4
10,AUS,3,1,1
10,ARG,3,1,0
10,CAN,2,5,9
10,NED,2,5,1
10,RSA,2,0,3
10,IRL,2,0,0
10,TCH,1,3,2
10,AUT,1,1,3
10,IND,1,0,0
10,DEN,0,5,3
10,MEX,0,2,0
10,LAT,0,1,0
10,NZL,0,1,0
10,SUI,0,1,0
10,PHI,0,0,3
10,BEL,0,0,1
10,ESP,0,0,1
10,URU,0,0,1
11,GER,38,31,32
11,USA,24,21,12
11,HUN,10,1,5
11,ITA,9,13,5
11,FIN,8,6,6
11,FRA,7,6,6
11,SWE,6,5,10
11,JPN,6,4,10
11,NED,6,4,7
11,AUT,5,7,5
11,SUI,4,9,5
11,GBR,4,7,3
11,TCH,3,5,1
11,ARG,2,2,3
11,EST,2,2,3
11,EGY,2,1,2
11,CAN,1,3,5
11,NOR,1,3,2
11,TUR,1,0,1
11,IND,1,0,0
11,NZL,1,0,0
11,POL,0,4,5
11,DEN,0,2,3
11,LAT,0,1,1
11,ROU,0,1,0
11,RSA,0,1,0
11,YUG,0,1,0
11,BEL,0,0,3
11,MEX,0,0,3
11,AUS,0,0,1
11,PHI,0,0,1
11,POR,0,0,1
12,USA,38,27,19
12,SWE,17,11,18
12,FRA,11,6,15
12,FIN,10,8,6
12,HUN,10,5,13
12,ITA,9,12,10
12,TUR,6,4,2
12,TCH,6,2,3
12,SUI,5,12,6
12,DEN,5,8,9
12,NED,5,2,9
12,GBR,4,16,7
12,ARG,3,3,1
12,AUS,2,6,5
12,AUT,2,2,4
12,BEL,2,2,3
12,RSA,2,2,2
12,EGY,2,2,1
12,MEX,2,1,2
12,NOR,1,3,3
12,JAM,1,2,0
12,POL,1,0,1
12,IND,1,0,0
12,PER,1,0,0
12,CAN,0,2,2
12,YUG,0,2,0
12,POR,0,1,1
12,URU,0,1,1
12,CUB,0,1,0
12,ESP,0,1,0
12,SRI,0,1,0
12,TTO,0,1,0
12,PAN,0,0,2
12,KOR,0,0,2
12,BRA,0,0,1
12,IRL,0,0,1
12,IRI,0,0,1
12,PUR,0,0,1
13,USA,40,19,17
13,URS,22,30,19
13,HUN,16,10,16
13,SWE,12,13,10
13,ITA,8,9,4
13,TCH,7,3,3
13,FRA,6,6,6
13,FIN,6,3,13
13,AUS,6,2,3
13,NOR,3,2,0
13,SUI,2,6,6
13,RSA,2,4,4
13,JAM,2,3,0
13,BEL,2,2,0
13,DEN,2,1,3
13,TUR,2,0,1
13,JPN,1,6,2
13,GBR,1,2,8
13,ARG,1,2,2
13,POL,1,2,1
13,CAN,1,2,0
13,YUG,1,2,0
13,ROU,1,1,2
13,BRA,1,0,2
13,NZL,1,0,2
13,IND,1,0,1
13,LUX,1,0,0
13,GER,0,7,17
13,NED,0,5,0
13,IRI,0,3,4
13,CHI,0,2,0
13,AUT,0,1,1
13,LBN,0,1,1
13,IRL,0,1,0
13,MEX,0,1,0
13,ESP,0,1,0
13,KOR,0,0,2
13,TTO,0,0,2
13,URU,0,0,2
13,BUL,0,0,1
13,EGY,0,0,1
13,POR,0,0,1
13,VEN,0,0,1
14,URS,37,29,32
14,USA,32,25,17
14,AUS,13,8,14
14,HUN,9,10,7
14,ITA,8,6,8
14,GBR,5,7,9
14,SWE,5,5,6
14,ROU,5,3,5
14,GER,4,10,6
14,JPN,4,10,5
14,FRA,4,4,6
14,TUR,3,2,2
14,FIN,3,1,11
14,IRI,2,2,1
14,CAN,2,1,2
14,NZL,2,0,0
14,POL,1,4,4
14,TCH,1,4,1
14,BUL,1,3,1
14,IRL,1,1,3
14,DEN,1,1,1
14,NOR,1,0,2
14,MEX,1,0,1
14,BRA,1,0,0
14,IND,1,0,0
14,YUG,0,3,0
14,CHI,0,2,2
14,BEL,0,2,0
14,ARG,0,1,1
14,KOR,0,1,1
14,ISL,0,1,0
14,PAK,0,1,0
14,RSA,0,0,4
14,AUT,0,0,2
14,GRE,0,0,1
14,BAH,0,0,1
14,URU,0,0,1
15,URS,43,29,31
15,USA,34,21,16
15,ITA,13,10,13
15,GER,12,19,11
15,AUS,8,8,6
15,TUR,7,2,0
15,HUN,6,8,7
15,JPN,4,7,7
15,POL,4,6,11
15,TCH,3,2,3
15,ROU,3,1,6
15,GBR,2,6,12
15,DEN,2,3,1
15,NZL,2,0,1
15,BUL,1,3,3
15,SWE,1,2,3
15,FIN,1,1,3
15,AUT,1,1,0
15,YUG,1,1,0
15,PAK,1,0,1
15,ETH,1,0,0
15,GRE,1,0,0
15,NOR,1,0,0
15,SUI,0,3,3
15,FRA,0,2,3
15,BEL,0,2,2
15,IRI,0,1,3
15,NED,0,1,2
15,RSA,0,1,2
15,ARG,0,1,1
15,UAR,0,1,1
15,CAN,0,1,0
15,TPE,0,1,0
15,GHA,0,1,0
15,IND,0,1,0
15,MAR,0,1,0
15,POR,0,1,0
15,SGP,0,1,0
15,BRA,0,0,2
15,WIF,0,0,2
15,IRQ,0,0,1
15,MEX,0,0,1
15,ESP,0,0,1
15,VEN,0,0,1
16,USA,36,26,28
16,URS,30,31,35
16,JPN,16,5,8
16,GER,10,22,18
16,ITA,10,10,7
16,HUN,10,7,5
16,POL,7,6,10
16,AUS,6,2,10
16,TCH,5,6,3
16,GBR,4,12,2
16,BUL,3,5,2
16,FIN,3,0,2
16,NZL,3,0,2
16,ROU,2,4,6
16,NED,2,4,4
16,TUR,2,3,1
16,SWE,2,2,4
16,DEN,2,1,3
16,YUG,2,1,2
16,BEL,2,0,1
16,FRA,1,8,6
16,CAN,1,2,1
16,SUI,1,2,1
16,ETH,1,0,0
16,IND,1,0,0
16,BAH,1,0,0
16,KOR,0,2,1
16,TTO,0,1,2
16,TUN,0,1,1
16,ARG,0,1,0
16,CUB,0,1,0
16,PAK,0,1,0
16,PHI,0,1,0
16,IRI,0,0,2
16,BRA,0,0,1
16,GHA,0,0,1
16,IRL,0,0,1
16,KEN,0,0,1
16,MEX,0,0,1
16,NGR,0,0,1
16,URU,0,0,1
17,USA,45,28,34
17,URS,29,32,30
17,JPN,11,7,7
17,HUN,10,10,12
17,GDR,9,9,7
17,FRA,7,3,5
17,TCH,7,2,4
17,FRG,5,11,10
17,AUS,5,7,5
17,GBR,5,5,3
17,POL,5,2,11
17,ROU,4,6,5
17,ITA,3,4,9
17,KEN,3,4,2
17,MEX,3,3,3
17,YUG,3,3,2
17,NED,3,3,1
17,BUL,2,4,3
17,IRI,2,1,2
17,SWE,2,1,1
17,TUR,2,0,0
17,DEN,1,4,3
17,CAN,1,3,1
17,FIN,1,2,1
17,ETH,1,1,0
17,NOR,1,1,0
17,NZL,1,0,2
17,TUN,1,0,1
17,PAK,1,0,0
17,VEN,1,0,0
17,CUB,0,4,0
17,AUT,0,2,2
17,SUI,0,1,4
17,MGL,0,1,3
17,BRA,0,1,2
17,BEL,0,1,1
17,KOR,0,1,1
17,UGA,0,1,1
17,CMR,0,1,0
17,JAM,0,1,0
17,ARG,0,0,2
17,TPE,0,0,1
17,GRE,0,0,1
17,IND,0,0,1
18,URS,50,27,22
18,USA,33,31,30
18,GDR,20,23,23
18,FRG,13,11,16
18,JPN,13,8,8
18,AUS,8,7,2
18,POL,7,5,9
18,HUN,6,13,16
18,BUL,6,10,5
18,ITA,5,3,10
18,SWE,4,6,6
18,GBR,4,5,9
18,ROU,3,6,7
18,CUB,3,1,4
18,FIN,3,1,4
18,NED,3,1,1
18,FRA,2,4,7
18,TCH,2,4,2
18,KEN,2,3,4
18,YUG,2,1,2
18,NOR,2,1,1
18,PRK,1,1,3
18,NZL,1,1,1
18,UGA,1,1,0
18,DEN,1,0,0
18,SUI,0,3,0
18,CAN,0,2,3
18,IRI,0,2,1
18,BEL,0,2,0
18,GRE,0,2,0
18,AUT,0,1,2
18,COL,0,1,2
18,ARG,0,1,0
18,LBN,0,1,0
18,MEX,0,1,0
18,MGL,0,1,0
18,PAK,0,1,0
18,KOR,0,1,0
18,TUN,0,1,0
18,TUR,0,1,0
18,BRA,0,0,2
18,ETH,0,0,2
18,GHA,0,0,1
18,IND,0,0,1
18,JAM,0,0,1
18,NIG,0,0,1
18,NGR,0,0,1
18,ESP,0,0,1
19,URS,49,41,35
19,GDR,40,25,25
19,USA,34,35,25
19,FRG,10,12,17
19,JPN,9,6,10
19,POL,7,6,13
19,BUL,6,9,7
19,CUB,6,4,3
19,ROU,4,9,14
19,HUN,4,5,13
19,FIN,4,2,0
19,SWE,4,1,0
19,GBR,3,5,5
19,ITA,2,7,4
19,FRA,2,3,4
19,YUG,2,3,3
19,TCH,2,2,4
19,NZL,2,1,1
19,KOR,1,1,4
19,SUI,1,1,2
19,PRK,1,1,0
19,JAM,1,1,0
19,NOR,1,1,0
19,DEN,1,0,2
19,MEX,1,0,1
19,TTO,1,0,0
19,CAN,0,5,6
19,BEL,0,3,3
19,NED,0,2,3
19,POR,0,2,0
19,ESP,0,2,0
19,AUS,0,1,4
19,IRI,0,1,1
19,MGL,0,1,0
19,VEN,0,1,0
19,BRA,0,0,2
19,AUT,0,0,1
19,BER,0,0,1
19,PAK,0,0,1
19,PUR,0,0,1
19,THA,0,0,1
20,URS,80,69,46
20,GDR,47,37,42
20,BUL,8,16,17
20,CUB,8,7,5
20,ITA,8,3,4
20,HUN,7,10,15
20,ROU,6,6,13
20,FRA,6,5,3
20,GBR,5,7,9
20,POL,3,14,15
20,SWE,3,3,6
20,FIN,3,1,4
20,TCH,2,3,9
20,YUG,2,3,4
20,AUS,2,2,5
20,DEN,2,1,2
20,BRA,2,0,2
20,ETH,2,0,2
20,SUI,2,0,0
20,ESP,1,3,2
20,AUT,1,2,1
20,GRE,1,0,2
20,BEL,1,0,0
20,IND,1,0,0
20,ZIM,1,0,0
20,PRK,0,3,2
20,MGL,0,2,2
20,TAN,0,2,0
20,MEX,0,1,3
20,NED,0,1,2
20,IRL,0,1,1
20,UGA,0,1,0
20,VEN,0,1,0
20,JAM,0,0,3
20,GUY,0,0,1
20,LBN,0,0,1
21,USA,83,61,30
21,ROU,20,16,17
21,FRG,17,19,23
21,CHN,15,8,9
21,ITA,14,6,12
21,CAN,10,18,16
21,JPN,10,8,14
21,NZL,8,1,2
21,YUG,7,4,7
21,KOR,6,6,7
21,GBR,5,11,21
21,FRA,5,7,16
21,NED,5,2,6
21,AUS,4,8,12
21,FIN,4,2,6
21,SWE,2,11,6
21,MEX,2,3,1
21,MAR,2,0,0
21,BRA,1,5,2
21,ESP,1,2,2
21,BEL,1,1,2
21,AUT,1,1,1
21,KEN,1,0,2
21,POR,1,0,2
21,PAK,1,0,0
21,SUI,0,4,4
21,DEN,0,3,3
21,JAM,0,1,2
21,NOR,0,1,2
21,GRE,0,1,1
21,NGR,0,1,1
21,PUR,0,1,1
21,COL,0,1,0
21,CIV,0,1,0
21,EGY,0,1,0
21,IRL,0,1,0
21,PER,0,1,0
21,SYR,0,1,0
21,THA,0,1,0
21,TUR,0,0,3
21,VEN,0,0,3
21,ALG,0,0,2
21,CMR,0,0,1
21,TPE,0,0,1
